Inspection_ID,Inspection_Date,DBA_Name,AKA_Name,License,Facility_Type,Risk,Address,City,State,Zip,Inspection_Type,Results,Latitude,Longitude,Location,Facility_Type_Clean,criticalCount,seriousCount,minorCount,pass_flag,fail_flag,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ID,LICENSE_ID,ACCOUNT_NUMBER,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP_CODE,WARD,PRECINCT,WARD_PRECINCT,POLICE_DISTRICT,LICENSE_CODE,LICENSE_DESCRIPTION,BUSINESS_ACTIVITY_ID,BUSINESS_ACTIVITY,LICENSE_NUMBER,APPLICATION_TYPE,LICENSE_TERM_START_DATE,LICENSE_TERM_EXPIRATION_DATE,LICENSE_STATUS,LATITUDE,LONGITUDE,minDate,maxDate,ageAtInspection,consumption_on_premises_incidental_activity,tobacco,package_goods,outdoor_patio,public_place_of_amusement,limited_business_license,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,precipIntensity,temperatureMax,windSpeed,humidity,heat_burglary,heat_garbage,heat_sanitation,criticalFound
509325,2011-09-15,GROCERIES FLORES,GROCERIES FLORES,1958619,Grocery Store,Risk 2 (Medium),5200 S CALIFORNIA AVE ,CHICAGO,IL,60632,Canvass,Pass,41.79906963097107,-87.6940941032688,"(41.79906963097107, -87.6940941032688)",Other,0,0,3,1,0,0,0,0,0,2,1,1958619-20110616,2092236,341005,MARICELA  FLORES,GROCERIES FLORES,5200 S CALIFORNIA AVE 1 1,CHICAGO,IL,60632,14,19,14-19,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1958619,RENEW,2011-06-16,2013-06-15,AAI,41.799069631,-87.694094103,2009-03-23,2019-06-15,2.4821917808219176,0,0,0,0,0,0,0,0,0,0,0,0,4.7333333333333336e-4,73.49666666666667,10.196666666666665,0.64,8.7885092697570375,51.27887730843549,17.733490967092603,0
509330,2011-09-22,CARNITAS DON RAFA INC,CARNITAS DON RAFA INC,57160,Restaurant,Risk 1 (High),4619 S KEDZIE AVE ,CHICAGO,IL,60632,Canvass,Pass,41.80934190042302,-87.70387671887354,"(41.80934190042302, -87.70387671887354)",Restaurant,0,0,2,1,0,0,0,0,0,2,1,57160-20110616,2089968,18430,"CARNITAS DON RAFA, INC.",CARNITAS DON RAFA INC,4619 S KEDZIE AVE 1ST,CHICAGO,IL,60632,14,31,14-31,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,57160,RENEW,2011-06-16,2013-06-15,AAI,41.8093419,-87.703876719,2002-08-16,2019-06-15,9.106849315068493,0,0,0,0,0,0,0,0,0,0,0,0,0.0041333333333333335,70.07333333333334,8.743333333333334,0.73,3.656825014752453,24.689533573626253,16.604556088611638,0
509333,2011-09-23,LA CONCHA,LA CONCHA,86549,Restaurant,Risk 2 (Medium),3858 S CALIFORNIA AVE ,CHICAGO,IL,60632,Canvass,Fail,41.82283838377082,-87.6947700614686,"(41.82283838377082, -87.6947700614686)",Restaurant,2,1,6,0,1,0,0,0,0,2,1,86549-20110616,2090815,81851,"ALFONSO CHAVARRIA, INC",LA CONCHA,3858 S CALIFORNIA AVE  1ST,CHICAGO,IL,60632,12,21,12-21,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,86549,RENEW,2011-06-16,2013-06-15,AAI,41.822838384,-87.694770061,2001-08-16,2017-06-15,10.10958904109589,0,0,0,0,0,0,0,0,0,0,0,0,9e-5,68.50333333333333,8.796666666666667,0.6733333333333333,6.463858208276449,28.279136974680625,13.57691765598051,1
509341,2011-09-27,LA INTERNATIONAL,LA INTERNATIONAL,57700,Grocery Store,Risk 2 (Medium),4301 S ARCHER AVE ,CHICAGO,IL,60632,Canvass,Pass,41.81530069366088,-87.70204160078063,"(41.81530069366088, -87.70204160078063)",Other,0,0,1,1,0,0,0,0,0,2,1,57700-20110616,2089972,18542,LA INTERNACIONAL # 2 INC.,LA INTERNATIONAL,4301 S ARCHER AVE,CHICAGO,IL,60632,15,23,15-23,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,57700,RENEW,2011-06-16,2013-06-15,AAI,41.815300694,-87.702041601,2001-08-16,2013-06-15,10.12054794520548,0,0,0,0,0,0,0,0,0,0,0,0,0.011146666666666668,61.833333333333336,9.633333333333333,0.8033333333333333,7.976849427826718,33.138719676325834,16.45224064077265,0
509342,2011-09-27,BRIGHTON MINI MART INC,BRIGHTON MINI MART INC,1123162,Grocery Store,Risk 2 (Medium),2532 W 47TH ST ,CHICAGO,IL,60632,Canvass,Pass,41.80848640104751,-87.68831293983168,"(41.80848640104751, -87.68831293983168)",Other,0,0,1,1,0,0,0,0,0,2,1,1123162-20110616,2091090,211165,BRIGHTON MINI MART INC,BRIGHTON MINI MART INC,2532 W 47TH ST,CHICAGO,IL,60632,15,20,15-20,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1123162,RENEW,2011-06-16,2013-06-15,AAI,41.808486401,-87.68831294,2002-08-16,2019-06-15,9.12054794520548,0,1,0,0,0,0,0,0,0,0,0,0,0.011146666666666668,61.833333333333336,9.633333333333333,0.8033333333333333,19.36637217929607,26.905390412467643,8.813282363274546,0
509343,2011-09-27,"JOHN'S GAR HOT DOGS, INC.","JOHN'S GAR HOT DOGS, INC.",1302325,Restaurant,Risk 2 (Medium),2658 W 47TH ST ,CHICAGO,IL,60632,Canvass,Pass,41.80843125729275,-87.6917058466879,"(41.80843125729275, -87.6917058466879)",Restaurant,0,0,2,1,0,0,0,0,0,2,1,1302325-20110616,2091259,255332,"JOHN'S GAR HOT DOGS , INC.","JOHN'S GAR HOT DOGS, INC.",2658 W 47TH ST,CHICAGO,IL,60632,15,26,15-26,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1302325,RENEW,2011-06-16,2013-06-15,AAI,41.808431257,-87.691705847,2002-11-27,2015-06-15,8.838356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0.011146666666666668,61.833333333333336,9.633333333333333,0.8033333333333333,21.648686961562735,30.409737600760565,12.991147123246352,0
509344,2011-09-27,JUST A PIZZA PLUS INC,JUST A PIZZA PLUS INC,75583,Restaurant,Risk 1 (High),5136 S ARCHER AVE ,CHICAGO,IL,60632,Canvass,Pass,41.8006193315046,-87.73114270276187,"(41.8006193315046, -87.73114270276187)",Restaurant,0,0,2,1,0,0,0,0,0,2,1,75583-20110616,2090033,22491,JUST A PIZZA PLUS INC,JUST A PIZZA PLUS INC,5136 S ARCHER AVE,CHICAGO,IL,60632,14,59,14-59,81,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,75583,RENEW,2011-06-16,2013-06-15,AAI,41.800619332,-87.731142703,2002-08-16,2019-06-15,9.12054794520548,0,0,0,0,0,0,0,0,0,0,0,0,0.011146666666666668,61.833333333333336,9.633333333333333,0.8033333333333333,18.677725206483682,32.551057310650286,13.769319982389213,0
509345,2011-09-28,LA  ROSITA BAKERY,LA  ROSITA BAKERY,1356477,Restaurant,Risk 2 (Medium),4450 S KEDZIE AVE ,CHICAGO,IL,60632,Canvass,Pass,41.812119310606526,-87.70427920302824,"(41.812119310606526, -87.70427920302824)",Restaurant,0,0,3,1,0,0,0,0,0,2,1,1356477-20110616,2091328,263447,MARTIN FLORES,LA  ROSITA BAKERY,4450 S KEDZIE AVE,CHICAGO,IL,60632,14,20,14-20,8,1006,Retail Food Establishment,NA,NA,1356477,RENEW,2011-06-16,2013-06-15,AAC,41.812119311,-87.704279203,2003-06-10,2013-06-15,8.306849315068494,0,0,0,0,0,0,0,0,0,0,0,0,0.012763333333333335,61.586666666666666,11.013333333333334,0.8433333333333333,6.835158363773958,30.193283992466334,21.009237128683015,0
509346,2011-09-28,BASEBALL BUFFET INC,THE PATIO BAR,25081,Restaurant,Risk 1 (High),333 W 35TH ST ,CHICAGO,IL,60616,Canvass,Pass,41.83078366228312,-87.6352957830455,"(41.83078366228312, -87.6352957830455)",Restaurant,0,0,5,1,0,0,0,0,0,2,1,25081-20100616,2028283,10218,"BASEBALL BUFFET, INC.","BASEBALL BUFFET, INC.",333 W 35TH ST 1ST,CHICAGO,IL,60616,11,31,11-31,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,25081,RENEW,2010-06-16,2012-06-15,AAI,41.830783662,-87.635295783,2002-08-16,2018-06-15,9.123287671232877,0,0,0,0,0,0,0,0,0,0,0,0,0.012763333333333335,61.586666666666666,11.013333333333334,0.8433333333333333,3.0675200579315733,3.6282236542048336,4.003438204527847,0
509347,2011-09-29,CENTRO MARKET,EL CENTRO MARKET,66257,Grocery Store,Risk 1 (High),5153-59 S KEDZIE AVE ,CHICAGO,IL,60632,Canvass,Fail,41.799257043707684,-87.70357470655833,"(41.799257043707684, -87.70357470655833)",Other,0,1,4,0,1,0,0,0,0,2,1,66257-20110616,2090001,20469,"Super Mercado El Centro, Inc.",CENTRO MARKET,5153-59 S KEDZIE AVE 1ST,CHICAGO,IL,60632,14,37,14-37,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,66257,RENEW,2011-06-16,2013-06-15,AAI,41.799257044,-87.703574707,2002-08-16,2017-06-15,9.126027397260273,0,0,0,0,0,0,0,0,0,0,0,0,0.016496666666666666,60.71666666666667,11.043333333333331,0.86,5.763901326900364,40.36285909244465,7.529975270221705,0
